objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,WmMurphy.pdf,,,William C Murphy Pension,Federal Government,1890-1902,This is an application for a widow's pension for Lydia Murphy.,pension;marriage;Union,"Webster County, West Virginia",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",,Image;StillImage,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,MMStatement.pdf,,,Margaret Murphy Statement,Margaret Murphy,5-1-1863,This is a statement by Murphy.,statement,DC,,,"RG 393, part 1_Entry 5812_Two Or More Name File_Murphy, Margaret C",,Image,application/pdf,eng,My photo,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,Sentinel.png,,,Fitchburg Sentinel ,Fitchburg Sentinel,12-1863,This is a newspaper stating Murphy's arrival in Fitchburg.,newspaper; prison,"Fitchburg, MA",,,Library of Congress,,Image,image/png,eng,My photo,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,Terrydiary.png,,,Terry Diary ,Mary Terry,7-6-1864,This is an excerpt from Terry's diary.,diary; reader; prison,"Fitchburg, MA",,,VMHC,,Image,image/png,eng,My photo,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,CampChase.jpg,,,Prison Transfer from Camp Chase,Federal Government,11-23-1863,This is a transfer from Camp Chase. ,prison,Ohio,,,National archives,,Image,image/jpg,eng,My photo,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
